Architecture,BLEU,ROUGE-L,BERTScore,Recall@5,Avg latency (s)
Req1 | Groq base (no RAG),21.33,35.99,74.93,,0.81
Req2 | Vertex fine-tuned (no RAG),22.92,32.04,73.16,,12.39
Req3 | Groq base + RAG,20.32,32.25,72.99,92.0,2.72
Req4 | Vertex fine-tuned + RAG,21.98,30.81,73.09,92.0,14.75
