Architecture,BLEU,ROUGE-L,BERTScore,Recall@5,Avg latency (s)
Req2 | Vertex fine-tuned (no RAG),22.92,32.04,73.16,,12.39
Req4 | Vertex fine-tuned + RAG,21.98,30.81,73.09,92.0,14.75
